"r_number","name","country","formation","system","series","intervall","max_ma","min_ma","time_slice_text","reliabilit","subsurface_text","type_text","thickness_text","m_thick","width_text","m_width","extension_text","m_ext","ext_belt","belonging","tropical_text","environment_text","subenvironment_text","bathymetry_text","biota_main_t","biota_sec_text","biota_deta_text","alg_type_text","p_lmc","p_arag","p_hmc","upwell_text","control_text","diversity_text","m_spec","guild_text","macro_bor_text","micro_bor_text","vert_zonat_text","hor_zonat_text","micrite_text","sparite_text","debris_text","dolomite_text","reservoir_text","latit","longit","collection","pal_lat_scotese","pal_long_scotese"
"1203","Shepard Guyot, Mid Pacific Mountains","Pacific","","Cretaceous","Lower Cretaceous","Aptian-Cenomanian","125.00","93.90","late Aptian - middle Cenomanian","2","Seismic data available","","10 to 100 m thick","","","","More than 1000 m","","20","","Tropical or unknown","Shelf or Platform margin","Atoll (circular structure)","Above fair weather wave base","Rudists","Algae","Corals - stromatoporoids (chaetetids) - algae (stromatolites) - rudists - (spicular sponges)","Red algae","40","50","10","no","no","6 to 24 reef building species","","Constructor guild","","","","","","","High production of reefal debris","","No or unknown reservoir potential","19.2333","-179.55","","-18.0054","-145.159"
"1215","Shepard Guyot, Pacific","Pacific","","Cretaceous","Lower Cretaceous","Aptian","125.00","113.00","late Valanginian - early Aptian","1","Seismic data available","","10 to 100 m thick","","","","More than 100 m","","30","","Tropical or unknown","Shelf or Platform margin","Atoll (circular structure)","Above fair weather wave base","Algae","Algae","Corals - stromatoporoids (chaetetids) - algae (stromatolites) - rudists - (spicular sponges)","Red algae","10","40","50","no","no","6 to 24 reef building species","","Constructor guild","","","","","","","High production of reefal debris","","No or unknown reservoir potential","19.2333","-179.55","","-19.7438","-144.882"
"1264","Allison Guyot, Midpac, Pacific","Pacific","","Cretaceous","Lower Cretaceous","Barremian-Aptian","129.40","113.00","late Valanginian - early Aptian","2","Seismic data available","","101-500 m thick","400","","","More than 1000 m","","70","","Tropical or unknown","Shelf or Platform margin","Atoll (circular structure)","Above fair weather wave base","Rudists","Rudists","Corals - stromatoporoids (chaetetids) - algae (stromatolites) - rudists - (spicular sponges)","","40","40","20","no","no","6 to 24 reef building species","","Constructor guild","","","","","","","High production of reefal debris","","No or unknown reservoir potential","18.5333","-179.55","","-21.4245","-144.928"
"1265","Allison Guyot II, Midpac, Pacific","Pacific","","Cretaceous","Lower Cretaceous","Albian","113.00","100.50","late Aptian - middle Cenomanian","2","Seismic data available","True reef","101-500 m thick","","","","More than 1000 m","","70","","Tropical or unknown","Shelf or Platform margin","Atoll (circular structure)","Above fair weather wave base","Algae","Corals","Corals - stromatoporoids (chaetetids) - algae (stromatolites) - rudists - (spicular sponges)","Red algae","10","40","50","no","no","","","Constructor guild","","","","","30-60% micrite","10-25% sparite","High production of reefal debris","","No or unknown reservoir potential","18.5333","-179.55","74178","-16.3517","-143.134"
"713","Midway Atoll, Pacific","Atlantic","","Neogene","Miocene","Miocene","23.00","5.30","Chattian - Aquitanian","1","Seismic data available","True reef","101-500 m thick","","","","More than 1000 m","","25","","Tropical or unknown","Shelf or Platform margin","Atoll (circular structure)","Above fair weather wave base","Corals","Corals","Corals only","","0","100","0","no","no","6 to 24 reef building species","7","Constructor guild","Present","Present","","","30-60% micrite","Less than 10% sparite","High production of reefal debris","Present","No or unknown reservoir potential","28.2333","-177.4","22976","22.3335","-163.921"
"769","Midway Atoll II, Pacific","Pacific","","Neogene","Miocene","Miocene","23.00","5.30","Tortonian - Gelasian","1","Seismic data available","True reef","10 to 100 m thick","","","","More than 1000 m","","25","","Tropical or unknown","Shelf or Platform margin","Atoll (circular structure)","Above fair weather wave base","Corals","Algae","Scleractinian corals - red algae - (hydrozoans) - (foraminifera) - (microbes) - (sponges)","Red algae","0","70","30","no","no","6 to 24 reef building species","8","Constructor guild","Present","Present","","","","","Medium production of reefal debris","Present","No or unknown reservoir potential","28.2","-177.4","22977","25.5717","-172.885"
"1201","Cape Johnson Guyot, Mid-Pacific Mts.","Pacific","","Cretaceous","Lower Cretaceous","Aptian-Cenomanian","125.00","93.90","late Aptian - middle Cenomanian","2","Seismic data available","","10 to 100 m thick","","","","More than 1000 m","","20","","Tropical or unknown","Shelf or Platform margin","Atoll (circular structure)","Above fair weather wave base","Rudists","Corals","Corals - stromatoporoids (chaetetids) - algae (stromatolites) - rudists - (spicular sponges)","","30","60","10","no","no","6 to 24 reef building species","","Constructor guild","","","","","","","High production of reefal debris","","No or unknown reservoir potential","17.1667","-177.3167","","-17.8441","-141.001"
"2655","Tongatabu, Tonga, Pacific","Tonga","","Neogene","Pliocene","Pliocene","5.30","2.60","Tortonian - Gelasian","2","Outcropping reef","True reef","10 to 100 m thick","","","","","","","","Tropical or unknown","Shelf or Platform margin","Atoll (circular structure)","","Corals","Algae","Scleractinian corals - red algae - (hydrozoans) - (foraminifera) - (microbes) - (sponges)","Red algae","0","70","30","no","no","","","Constructor guild","","","","","","","","","No or unknown reservoir potential","-21.15","-175.2","","-22.9729","-175.19"
"2101","Eua Channel, Tonga, Pacific","Tonga","","Paleogene","Eocene","Upper Eocene","38.00","33.90","Priabonian - Rupelian","2","Seismic data available","","101-500 m thick","","","","","","","","Tropical or unknown","","Unknown","","","","","","","","","no","no","","","","","","","","","","","","No or unknown reservoir potential","-21.3333","-175","70950","-31.0241","-175.558"
"1200","Hess Guyot, Mid-Pacific Mountains","Pacific","","Cretaceous","Lower Cretaceous","Aptian-Cenomanian","125.00","93.90","late Aptian - middle Cenomanian","2","Seismic data available","","10 to 100 m thick","","","","More than 1000 m","","20","","Tropical or unknown","Shelf or Platform margin","Atoll (circular structure)","Above fair weather wave base","Rudists","Corals","Corals - stromatoporoids (chaetetids) - algae (stromatolites) - rudists - (spicular sponges)","","30","60","10","no","no","6 to 24 reef building species","","Constructor guild","","","","","","","High production of reefal debris","","No or unknown reservoir potential","17.8","-174.3167","","-17.6907","-138.794"
"2525","Chegitun River, Chukotsk","Russia","","Silurian","Upper Silurian","Wenlock-Ludlow","433.40","423.00","Wenlock - early Pridoli","1","Outcropping reef","Reef mound","10 to 100 m thick","100","","","","","60","","Tropical or unknown","","Unknown","","Corals","Stromatoporoids","Stromatoporoids - rugose/tabulate corals - microbes - (bryozoans) - (algae) - (echinoderms)","","60","0","40","no","no","","","","","","","","","","","","No or unknown reservoir potential","66.1667","-172","","15.9259","-28.6018"
"999","Chukotsk Peninsula, Magadan","Russia","Chegitun","Ordovician","Upper Ordovician","Hirnantian","445.20","443.40","Darriwilian - Ashgillian","3","Outcropping reef","Reef mound","10 to 100 m thick","100","More than 1000 m wide","","More than 1000 m","","","","Tropical or unknown","Intrashelf/ Intraplatform","Unknown","","Corals","Algae","Stromatoporoids - rugose/tabulate corals - microbes - (bryozoans) - (algae) - (echinoderms)","Receptaculitids","60","40","0","no","no","","","","","","","","","","","","No or unknown reservoir potential","66.5","-171.1667","80675","15.7493","-36.8272"
"1092","Niue, S-Pacific","Pacific","","Neogene","Upper Neogene","Miocene/Pliocene","20.00","2.60","Tortonian - Gelasian","2","Outcropping reef","True reef","101-500 m thick","","","","More than 1000 m","","10","","Tropical or unknown","Shelf or Platform margin","Atoll (circular structure)","Above fair weather wave base","Corals","Algae","Scleractinian corals - red algae - (hydrozoans) - (foraminifera) - (microbes) - (sponges)","Red algae","0","70","30","no","no","","","Constructor guild","","","Medium zonation","","30-60% micrite","","Medium production of reefal debris","","No or unknown reservoir potential","-19.0333","-169.9167","","-24.0251","-159.428"
"1202","Horizon Guyot, Mid-Pacific Mountains","Pacific","","Cretaceous","Middle Cretaceous","Albian-Cenomanian","113.00","93.90","late Aptian - middle Cenomanian","2","Seismic data available","True reef","10 to 100 m thick","","","","More than 1000 m","","50","","Tropical or unknown","Shelf or Platform margin","Atoll (circular structure)","Above fair weather wave base","Rudists","Corals","Corals - stromatoporoids (chaetetids) - algae (stromatolites) - rudists - (spicular sponges)","","45","55","0","no","no","6 to 24 reef building species","","Constructor guild","","","","","","","High production of reefal debris","","No or unknown reservoir potential","19","-169","","-15.6676","-131.487"
"2824","Nauru Basin, DSDP Leg 61, West Pacific","Pacific","","Paleogene","Oligocene","Late Oligocene","28.10","23.00","Chattian - Aquitanian","2","Seismic data available","True reef","","","","","","","","","Tropical or unknown","Shelf or Platform margin","Atoll (circular structure)","","Corals","Stromatoporoids","Corals - hydrozoans","","0","100","0","no","no","","","","","","","","","","Medium production of reefal debris","","No or unknown reservoir potential","7.2361","-165.0306","","0.573993","-149.332"
