"collection_no","r_number","interval_name","max_ma","mid_ma","min_ma","lng","lat","P.Long","P.Lat","data_source","paleolng","paleolat"
NA,2655,"Zanclean",5.333,4.466,3.6,-175.2,-21.15,-173.089142641,-22.7798909169999,"PaleoReefDB",-175.184350674198,-23.1845779571114
NA,2080,"Zanclean",5.333,4.466,3.6,-151.7167,-16.5,-148.912156579,-18.2863768719999,"PaleoReefDB",-148.373700163355,-18.4496408444247
NA,2652,"Tortonian",11.62,9.433,7.246,-151.35,-22.45,-141.613324786,-26.663808914,"PaleoReefDB",-143.935280961786,-26.1021627640128
"38033",10,"Norian",228,218.25,208.5,-134.8736,61.0611,-64.551424073,19.897448916,"PaleoReefDB",-72.1188543975557,28.2386650097031
"21251",107,"Sinemurian",199.3,195.05,190.8,-127.1333,54.3833,-62.0604200029999,22.5065304020001,"PaleoReefDB",-69.5464087061678,27.111958546548
"33439",153,"Norian",228,218.25,208.5,-118.0667,38.4111,-53.944683173,6.68791666800007,"PaleoReefDB",-54.8791575235691,13.568195910422
"21253",2683,"Aptian",125,119,113,-110.6667,29.75,-58.33460689,38.516714875,"PaleoReefDB",-64.4937942511511,30.2916057745007
"21254",2684,"Albian",113,106.75,100.5,-110.625,29.6,-67.651696972,35.654923809,"PaleoReefDB",-71.0986047785908,30.8228805362301
"24042",1295,"Albian",113,106.75,100.5,-109.7542,31.3783,-66.1409274609999,37.1112512600001,"PaleoReefDB",-69.7201080998133,32.3547705804909
NA,2658,"Albian",113,106.75,100.5,-109.2167,30.5833,-65.807936153,36.2320224600001,"PaleoReefDB",-69.4321506601695,31.4689792454079
"74146",2227,"Albian",113,106.75,100.5,-109.1025,31.3411,-65.473163964,36.9472853680001,"PaleoReefDB",-69.0948024082068,32.1772809219806
NA,3063,"Maastrichtian",72.1,69.05,66,-101.05,26.1667,-79.666271663,31.3949220550001,"PaleoReefDB",-80.6652810454631,32.9321838286235
