"P.Long","P.Lat","interval_name"
0.5,40.5,"Zanclean"
-79.5,26.5,"Zanclean"
126.5,26.5,"Zanclean"
-79.5,25.5,"Zanclean"
-71.5,19.5,"Zanclean"
-73.5,18.5,"Zanclean"
-76.5,17.5,"Zanclean"
-69.5,11.5,"Zanclean"
-84.5,10.5,"Zanclean"
-83.5,10.5,"Zanclean"
117.5,3.5,"Zanclean"
120.5,-5.5,"Zanclean"
120.5,-6.5,"Zanclean"
109.5,-7.5,"Zanclean"
39.5,-10.5,"Zanclean"
159.5,-11.5,"Zanclean"
165.5,-24.5,"Zanclean"
-0.5,40.5,"Tortonian"
0.5,38.5,"Tortonian"
1.5,38.5,"Tortonian"
2.5,38.5,"Tortonian"
-3.5,37.5,"Tortonian"
-0.5,37.5,"Tortonian"
14.5,37.5,"Tortonian"
-5.5,36.5,"Tortonian"
-4.5,36.5,"Tortonian"
-3.5,36.5,"Tortonian"
12.5,36.5,"Tortonian"
13.5,36.5,"Tortonian"
14.5,36.5,"Tortonian"
28.5,36.5,"Tortonian"
-5.5,35.5,"Tortonian"
-4.5,35.5,"Tortonian"
13.5,35.5,"Tortonian"
27.5,35.5,"Tortonian"
21.5,34.5,"Tortonian"
-3.5,33.5,"Tortonian"
22.5,33.5,"Tortonian"
23.5,33.5,"Tortonian"
30.5,33.5,"Tortonian"
-4.5,32.5,"Tortonian"
33.5,31.5,"Tortonian"
32.5,30.5,"Tortonian"
33.5,26.5,"Tortonian"
-72.5,18.5,"Tortonian"
-69.5,17.5,"Tortonian"
39.5,14.5,"Tortonian"
121.5,12.5,"Tortonian"
122.5,11.5,"Tortonian"
123.5,11.5,"Tortonian"
91.5,10.5,"Tortonian"
91.5,9.5,"Tortonian"
116.5,1.5,"Tortonian"
71.5,59.5,"Norian"
72.5,59.5,"Norian"
72.5,58.5,"Norian"
62.5,47.5,"Norian"
27.5,44.5,"Norian"
147.5,39.5,"Norian"
16.5,38.5,"Norian"
17.5,38.5,"Norian"
21.5,37.5,"Norian"
15.5,35.5,"Norian"
14.5,34.5,"Norian"
15.5,34.5,"Norian"
14.5,33.5,"Norian"
13.5,21.5,"Norian"
13.5,20.5,"Norian"
15.5,19.5,"Norian"
13.5,15.5,"Norian"
-50.5,14.5,"Norian"
13.5,14.5,"Norian"
12.5,12.5,"Norian"
13.5,12.5,"Norian"
18.5,11.5,"Norian"
18.5,10.5,"Norian"
-53.5,8.5,"Norian"
21.5,7.5,"Norian"
-85.5,6.5,"Norian"
-54.5,6.5,"Norian"
-53.5,6.5,"Norian"
-51.5,-1.5,"Norian"
49.5,-8.5,"Norian"
72.5,-12.5,"Norian"
72.5,-13.5,"Norian"
74.5,-18.5,"Norian"
95.5,-21.5,"Norian"
96.5,-21.5,"Norian"
126.5,-25.5,"Norian"
-40.5,-33.5,"Norian"
95.5,59.5,"Sinemurian"
95.5,58.5,"Sinemurian"
20.5,36.5,"Sinemurian"
20.5,35.5,"Sinemurian"
-62.5,22.5,"Sinemurian"
1.5,21.5,"Sinemurian"
-56.5,39.5,"Aptian"
-58.5,38.5,"Aptian"
39.5,33.5,"Aptian"
42.5,33.5,"Aptian"
28.5,32.5,"Aptian"
43.5,31.5,"Aptian"
32.5,30.5,"Aptian"
19.5,28.5,"Aptian"
76.5,27.5,"Aptian"
-51.5,25.5,"Aptian"
-26.5,25.5,"Aptian"
33.5,22.5,"Aptian"
-26.5,13.5,"Aptian"
-23.5,13.5,"Aptian"
35.5,12.5,"Aptian"
36.5,12.5,"Aptian"
22.5,-34.5,"Aptian"
23.5,-34.5,"Aptian"
