"collection_no","stage_bin","lng","lat","PLong","PLat","x","y","stage"
79545,"Aalenian",98.683334,16,119.355292469,35.417557092,119.355292469,35.417557092,"Aalenian"
79538,"Aalenian",98.666664,16.033333,119.345954633,35.4537501560001,119.345954633,35.4537501560001,"Aalenian"
79539,"Aalenian",98.666664,16.033333,119.345954633,35.4537501560001,119.345954633,35.4537501560001,"Aalenian"
79540,"Aalenian",98.666664,16.033333,119.345954633,35.4537501560001,119.345954633,35.4537501560001,"Aalenian"
79541,"Aalenian",98.666664,16.033333,119.345954633,35.4537501560001,119.345954633,35.4537501560001,"Aalenian"
79542,"Aalenian",98.666664,16.033333,119.345954633,35.4537501560001,119.345954633,35.4537501560001,"Aalenian"
79544,"Aalenian",98.699997,16.066668,119.393919235,35.47847446,119.393919235,35.47847446,"Aalenian"
79543,"Aalenian",98.616669,16.083332,119.303297143,35.51376363,119.303297143,35.51376363,"Aalenian"
41397,"Aalenian",56.5,33,80.8859408920001,40.9452783040001,80.8859408920001,40.9452783040001,"Aalenian"
33604,"Aalenian",-5,34,4.59797511000005,26.065860392,4.59797511000005,26.065860392,"Aalenian"
41398,"Aalenian",56.666668,34.166668,82.245677786,41.523934981,82.245677786,41.523934981,"Aalenian"
66387,"Aalenian",11.133333,45.75,36.1134788320001,25.984127807,36.1134788320001,25.984127807,"Aalenian"
66390,"Aalenian",11.133333,45.75,36.1134788320001,25.984127807,36.1134788320001,25.984127807,"Aalenian"
77240,"Aalenian",-2.105,51.845001,21.0619246860001,38.826913066,21.0619246860001,38.826913066,"Aalenian"
74181,"Albian",-98.900002,21.966667,-57.7831118839999,25.765295329,-57.7831118839999,25.765295329,"Albian"
21255,"Albian",-109.5,29.200001,-66.5987398349999,35.0360779220001,-66.5987398349999,35.0360779220001,"Albian"
21254,"Albian",-110.666664,29.75,-67.65174115,35.80923004,-67.65174115,35.80923004,"Albian"
84749,"Albian",-98.650002,29.883333,-55.3255815379999,33.3921938180001,-55.3255815379999,33.3921938180001,"Albian"
