collection_no,record_type,formation,lng,lat,collection_name,collection_subset,collection_aka,n_occs,early_interval,late_interval,max_ma,min_ma,ref_author,ref_pubyr,reference_no,cc,state,county,latlng_basis,latlng_precision,geogscale,geogcomments,paleomodel,paleolng,paleolat,geoplate,cc,protected,formation,stratgroup,member,stratscale,zone,localsection,localbed,localorder,regionalsection,regionalbed,regionalorder,stratcomments,lithdescript,lithology1,lithadj1,lithification1,minor_lithology1,fossilsfrom1,lithology2,lithadj2,lithification2,minor_lithology2,fossilsfrom2,environment,tectonic_setting,geology_comments,assembl_comps,articulated_parts,associated_parts,common_body_parts,rare_body_parts,feed_pred_traces,artifacts,component_comments,pres_mode,preservation_quality,spatial_resolution,temporal_resolution,lagerstatten,concentration,orientation,abund_in_sediment,sorting,fragmentation,bioerosion,encrustation,preservation_comments,collection_type,collection_methods,museum,collection_coverage,collection_size,rock_censused,collectors,collection_dates,collection_comments,taxonomy_comments
2260,col,Alikper,54.5,39.599998,Bolshoy Balkan-1,,,6,Hauterivian,,132.9,129.4,Bugrova,1990,69,TM,,,based on political unit,1,local area,This is a collection based on a composite of three measured sections throughout the region.,gp_mid,69.18,27.22,402,TM,,Alikper,,,,,Bolshoy Balkhan,Facies A,,,,,,,reef rocks,,,argillaceous,,,,,,,"reef, buildup or bioherm",,Facies A is represented by coralgal bindstone and framestone with an argillaceous admixture and large massive loaf-like colonies.,macrofossils,,,,,,,,body,,,,,,,,,,,,,paleoecologic,,,some macrofossils,,,,,,
2261,col,Alikper,54.5,39.599998,Bolshoy Balkhan-2,,,5,Hauterivian,,132.9,129.4,Bugrova,1990,69,TM,,,based on political unit,1,local area,This collection is based on a series of three measured sections in the region of Bolshoy Balkhan.,gp_mid,69.18,27.22,402,TM,,Alikper,,,,,Bolshoy Balkhan,Facies B,,,,,,,limestone,,,argillaceous,,,,,,,"reef, buildup or bioherm",,Facies B consists of conglomerate-like but argillaceous limestone; wavy bedding is emphasized by crust-shaped colonies of soft nodular limestone,macrofossils,,,,,,,,body,,,,,,,,,,,,,paleoecologic,,,some macrofossils,,,,,,
2262,col,Alikper,54.5,39.599998,Bolshoy Balkhan-3,,,4,Hauterivian,,132.9,129.4,Bugrova,1990,69,TM,,,based on political unit,1,local area,This collection is based on a composite collection from three outcrops in the  region.,gp_mid,69.18,27.22,402,TM,,Alikper,,,,,Bolshoy Balkhan,Facies C,,,,,,,reef rocks,,,,,,,,,,"reef, buildup or bioherm",,"Lithology described as simple dome-shaped bioherms, constructed of large, massive, and dendroid colonies of corals that have grown directly on one another.",macrofossils,,,,,,,,body,,,,,,,,,,,,,paleoecologic,,,some macrofossils,,,,,,
2263,col,Alikper,61.716667,35.466667,Bolshoy Balkhan-4,,Reef 2355,13,Hauterivian,,132.9,129.4,Bugrova,1990,69,TM,Turkoman Republic,Bolshoy Balkhan,based on political unit,minutes,local area,This is a collection based on a composite measured section from three outcrops in the region.,gp_mid,76.31,24.29,402,TM,,Alikper,,,,,Bolshoy Balkhan,Facies D,,,,,,,reef rocks,,,,,,,,,,"reef, buildup or bioherm",,,"macrofossils,mesofossils",,,,,,,,body,,,,,,,,,,,,,paleoecologic,,,some macrofossils,,,,,,
2264,col,Alikper,54.5,39.599998,Bolshoy Balkhan-5,,,12,Hauterivian,,132.9,129.4,Bugrova,1990,69,TM,,,based on political unit,1,local area,This collection is based on a composite of measured sections from three outcrops in the region.,gp_mid,69.18,27.22,402,TM,,Alikper,,,,,Bolshoy Balkhan,Facies E,,,,,,,reef rocks,,,,,,,,,,"reef, buildup or bioherm",,"Lithology described as a complex (lens-like or dilophoid) bioherms with a broad base, 8-9m in diameter",macrofossils,,,,,,,,body,,,,,,,,,,,,,paleoecologic,,,some macrofossils,,,,,,
4851,col,Coral Rag de Trouville,0.033333,49.316666,Normandy BV1,,,1,Late Oxfordian,,161.2,155.7,Fursich,1999,41,FR,Normandy,,based on nearby landmark,minutes,small collection,"low cliffs between Blonville and Benerville, Normandy",gp_mid,17.03,31.85,305,FR,,Coral Rag de Trouville,,,bed,parandieri,BV,1,bottom to top,,,,loose boulder on beach,coral reef; mainly thin sheets of thamnasteria in a micritic matrix,reef rocks,,lithified,,,,,,,,"reef, buildup or bioherm",,,,,,,,,,,"body,original calcite,replaced with calcite",,,,,,,,,,,,,paleoecologic,"bulk,mechanical,field collection",,all microfossils,,,,,,
4852,col,Coral Rag de Trouville,0.033333,49.316666,Normandy BV6,,,2,Late Oxfordian,,161.2,155.7,Fursich,1999,41,FR,Normandy,,based on nearby landmark,minutes,small collection,"low cliffs between Blonville and Benerville, Normandy",gp_mid,17.03,31.85,305,FR,,Coral Rag de Trouville,,,bed,parandieri,BV,6,no particular order,,,,,sheet-like thamnasteria and branching rhabdophyllia reef; matrix: bioclastic wacke- to packstone,reef rocks,,lithified,,,,,,,,"reef, buildup or bioherm",,,macrofossils,,,,,,,,"body,original calcite,replaced with calcite",,,,,,,,,,,,,paleoecologic,"bulk,mechanical,field collection",,,,,,,,
4901,col,Coon Hollow,-116.462776,45.663055,Pittsburg Landing (Idaho),,,2,Bajocian,,170.3,168.3,Stanley and Beauvais,1990,307,US,Idaho,Idaho,estimated from map,seconds,small collection,"NE1/4 NW1/4 SW1/4 sec. 21, T27N R1W, 2,800' elevation",gp_mid,-41.85,33.67,129,US,FED,Coon Hollow,,,group of beds,,,,,,,,"from ""limestone lenses 1-3 m thick""","light-colored, impure, coralline limestone; wackestone to packestone, dominated by sublaminate encrusting corals",reef rocks,shelly/skeletal,,,,,,,,,"reef, buildup or bioherm",,"""vigorous wave action... shallow-water biostromes""; lithology dominated by coral colonies",,,,,,,,,,,,,,,,,,,,,,taxonomic,"peel or thin section,field collection",,,,,,,,"""tube worms"" not identified but possibly serpulids"
7274,col,Gatuncillo,-79.633331,9.25,"Lago Alahuela, Panama",,,40,Priabonian,,38,33.9,Budd et al.,1992,462,PA,,Lago Alahuela,,minutes,local area,,gp_mid,-72.44,10.39,230,PA,,Gatuncillo,,,,,,,,,,,originally designated as Lutetian to Priabonian\r\nPanama Stratigraphic Commission gives age as Priabonian now,sequence of mud and siltstones with occasional algal-rich limestone beds. echinoid and coral rich beds occasionally interspersed.,mudstone,,lithified,,Y,"""limestone""",,,,,"reef, buildup or bioherm",passive margin,,,,,,,,,,"body,replaced with silica",,,,,,,,,,,,,taxonomic,"bulk,mechanical,field collection",,"all microfossils,some macrofossils",,,,,only corals described,
10700,col,,-69.75,-35.083332,"Puesto Araya, Argentina",,3071,3,Early Pliensbachian,,189.6,183,Morsch,2001,3974,AR,Mendoza,,,minutes,small collection,West Bank of Atual River,gp_mid,-15,-37.27,291,AR,,,,,group of beds,Prodactylioceras davoei,,,,,,,Upper Tragophylloceras Zone to lower Prodactylioceras davoei zone,"Corals in lenticular bed, approximately 100 m long and 4.5 m high.",sandstone,,lithified,calcareous,Y,"""shale""",,,,,"reef, buildup or bioherm",,,,,,,,,,,,,,,,,,,,,,,,taxonomic,"selective quarrying,mechanical,field collection,survey of museum collection",,"all microfossils,some macrofossils",,,,,,
