"species","x","y"
"reef",129.5,30.5
"reef",130.5,30.5
"reef",131.5,30.5
"reef",47.5,29.5
"reef",48.5,29.5
"reef",50.5,29.5
"reef",129.5,29.5
"reef",48.5,28.5
"reef",50.5,28.5
"reef",129.5,28.5
"reef",-93.5,27.5
"reef",-78.5,27.5
"reef",-77.5,27.5
"reef",49.5,27.5
"reef",50.5,27.5
"reef",51.5,27.5
"reef",52.5,27.5
"reef",120.5,27.5
"reef",121.5,27.5
"reef",128.5,27.5
"reef",-80.5,26.5
"reef",-79.5,26.5
"reef",-78.5,26.5
"reef",-77.5,26.5
"reef",50.5,26.5
"reef",51.5,26.5
"reef",53.5,26.5
"reef",126.5,26.5
"reef",127.5,26.5
"reef",128.5,26.5
"reef",-173.5,25.5
"reef",-170.5,25.5
"reef",-80.5,25.5
"reef",-79.5,25.5
"reef",-78.5,25.5
"reef",-77.5,25.5
"reef",-76.5,25.5
"reef",50.5,25.5
"reef",51.5,25.5
"reef",59.5,25.5
"reef",60.5,25.5
"reef",121.5,25.5
"reef",122.5,25.5
"reef",123.5,25.5
"reef",124.5,25.5
"reef",125.5,25.5
"reef",-167.5,24.5
"reef",-83.5,24.5
"reef",-82.5,24.5
"reef",-81.5,24.5
"reef",-80.5,24.5
"reef",-79.5,24.5
"reef",-78.5,24.5
"reef",-77.5,24.5
"reef",-76.5,24.5
"reef",-75.5,24.5
"reef",118.5,24.5
"reef",119.5,24.5
"reef",121.5,24.5
"reef",122.5,24.5
"reef",123.5,24.5
"reef",124.5,24.5
"reef",125.5,24.5
"reef",-166.5,23.5
"reef",-164.5,23.5
"reef",-109.5,23.5
"reef",-88.5,23.5
"reef",-82.5,23.5
"reef",-81.5,23.5
"reef",-80.5,23.5
"reef",-79.5,23.5
"reef",-78.5,23.5
"reef",-77.5,23.5
"reef",-76.5,23.5
"reef",-75.5,23.5
"reef",-74.5,23.5
"reef",36.5,23.5
"reef",38.5,23.5
"reef",57.5,23.5
"reef",58.5,23.5
"reef",119.5,23.5
"reef",121.5,23.5
"reef",-89.5,22.5
"reef",-88.5,22.5
"reef",-84.5,22.5
"reef",-83.5,22.5
"reef",-81.5,22.5
"reef",-80.5,22.5
"reef",-79.5,22.5
"reef",-78.5,22.5
"reef",-77.5,22.5
"reef",-76.5,22.5
"reef",-75.5,22.5
"reef",-74.5,22.5
"reef",-73.5,22.5
"reef",35.5,22.5
"reef",36.5,22.5
"reef",37.5,22.5
"reef",38.5,22.5
"reef",39.5,22.5
"reef",59.5,22.5
"reef",68.5,22.5
"reef",69.5,22.5
"reef",70.5,22.5
"reef",114.5,22.5
"reef",120.5,22.5
"reef",-159.5,21.5
"reef",-158.5,21.5
"reef",-157.5,21.5
"reef",-97.5,21.5
"reef",-92.5,21.5
"reef",-91.5,21.5
"reef",-90.5,21.5
"reef",-89.5,21.5
"reef",-88.5,21.5
"reef",-86.5,21.5
"reef",-84.5,21.5
"reef",-83.5,21.5
"reef",-82.5,21.5
"reef",-81.5,21.5
"reef",-79.5,21.5
"reef",-78.5,21.5
"reef",-77.5,21.5
"reef",-76.5,21.5
"reef",-75.5,21.5
"reef",-73.5,21.5
"reef",-72.5,21.5
"reef",-71.5,21.5
"reef",36.5,21.5
"reef",37.5,21.5
"reef",38.5,21.5
"reef",39.5,21.5
"reef",69.5,21.5
"reef",70.5,21.5
"reef",120.5,21.5
"reef",121.5,21.5
"reef",-156.5,20.5
"reef",-92.5,20.5
"reef",-91.5,20.5
"reef",-90.5,20.5
"reef",-87.5,20.5
"reef",-86.5,20.5
"reef",-78.5,20.5
"reef",-77.5,20.5
"reef",-75.5,20.5
"reef",-74.5,20.5
"reef",-72.5,20.5
"reef",37.5,20.5
"reef",39.5,20.5
"reef",40.5,20.5
"reef",57.5,20.5
"reef",58.5,20.5
"reef",70.5,20.5
"reef",71.5,20.5
"reef",72.5,20.5
"reef",107.5,20.5
"reef",109.5,20.5
"reef",110.5,20.5
"reef",116.5,20.5
"reef",121.5,20.5
"reef",-155.5,19.5
"reef",-95.5,19.5
"reef",-92.5,19.5
"reef",-87.5,19.5
