x,y,stage
82.5,41.5,Aalenian
80.5,40.5,Aalenian
21.5,38.5,Aalenian
119.5,35.5,Aalenian
4.5,26.5,Aalenian
36.5,25.5,Aalenian
-56.5,36.5,Albian
54.5,36.5,Albian
-53.5,34.5,Albian
11.5,34.5,Albian
-56.5,33.5,Albian
-55.5,33.5,Albian
-54.5,33.5,Albian
61.5,26.5,Albian
-57.5,25.5,Albian
28.5,25.5,Albian
32.5,16.5,Albian
33.5,8.5,Albian
25.5,30.5,Anisian
24.5,29.5,Anisian
27.5,29.5,Anisian
27.5,27.5,Anisian
121.5,14.5,Anisian
18.5,13.5,Anisian
19.5,13.5,Anisian
121.5,11.5,Anisian
22.5,1.5,Anisian
153.5,52.5,Aptian
151.5,49.5,Aptian
-57.5,38.5,Aptian
39.5,33.5,Aptian
28.5,32.5,Aptian
-49.5,31.5,Aptian
32.5,30.5,Aptian
21.5,29.5,Aptian
76.5,27.5,Aptian
-51.5,25.5,Aptian
33.5,22.5,Aptian
-26.5,13.5,Aptian
-25.5,13.5,Aptian
-23.5,13.5,Aptian
31.5,12.5,Aptian
35.5,12.5,Aptian
36.5,12.5,Aptian
36.5,4.5,Aptian
52.5,-14.5,Aptian
-0.5,37.5,Aquitanian
-12.5,36.5,Aquitanian
54.5,26.5,Aquitanian
140.5,20.5,Aquitanian
-83.5,8.5,Aquitanian
76.5,40.5,Bajocian
20.5,38.5,Bajocian
27.5,38.5,Bajocian
28.5,38.5,Bajocian
28.5,37.5,Bajocian
27.5,36.5,Bajocian
28.5,36.5,Bajocian
29.5,36.5,Bajocian
30.5,36.5,Bajocian
27.5,35.5,Bajocian
28.5,35.5,Bajocian
29.5,35.5,Bajocian
28.5,34.5,Bajocian
29.5,34.5,Bajocian
5.5,23.5,Bajocian
-27.5,-25.5,Bajocian
-26.5,-26.5,Bajocian
-27.5,-29.5,Bajocian
-26.5,-30.5,Bajocian
149.5,44.5,Barremian
40.5,37.5,Barremian
41.5,37.5,Barremian
43.5,36.5,Barremian
63.5,33.5,Barremian
43.5,31.5,Barremian
45.5,31.5,Barremian
46.5,31.5,Barremian
72.5,31.5,Barremian
28.5,30.5,Barremian
43.5,30.5,Barremian
64.5,30.5,Barremian
32.5,28.5,Barremian
-32.5,-22.5,Barremian
12.5,45.5,Bartonian
62.5,20.5,Bartonian
19.5,33.5,Bathonian
21.5,31.5,Bathonian
12.5,23.5,Bathonian
47.5,-25.5,Bathonian
44.5,31.5,Berriasian
44.5,30.5,Berriasian
36.5,26.5,Berriasian
-15.5,49.5,Burdigalian
6.5,42.5,Burdigalian
-1.5,39.5,Burdigalian
135.5,38.5,Burdigalian
135.5,37.5,Burdigalian
30.5,32.5,Burdigalian
54.5,26.5,Burdigalian
56.5,26.5,Burdigalian
57.5,26.5,Burdigalian
-78.5,22.5,Burdigalian
-159.5,21.5,Burdigalian
63.5,21.5,Burdigalian
-70.5,17.5,Burdigalian
-66.5,16.5,Burdigalian
-79.5,13.5,Burdigalian
-84.5,11.5,Burdigalian
-59.5,8.5,Burdigalian
-58.5,8.5,Burdigalian
-68.5,7.5,Burdigalian
-58.5,7.5,Burdigalian
95.5,6.5,Burdigalian
-179.5,5.5,Burdigalian
115.5,3.5,Burdigalian
116.5,3.5,Burdigalian
115.5,2.5,Burdigalian
109.5,-4.5,Burdigalian
110.5,-5.5,Burdigalian
126.5,-7.5,Burdigalian
-168.5,-21.5,Burdigalian
142.5,-25.5,Burdigalian
-179.5,-40.5,Burdigalian
123.5,-40.5,Burdigalian
-178.5,-41.5,Burdigalian
