interval_no,record_type,scale_no,scale_level,interval_name,abbrev,parent_no,color,max_ma,mid_ma,min_ma,reference_no
3002,int,1,5,Holocene,Hol,32,#FEF2E0,0.0117,0.00585,0,47900
922,int,1,5,Late Pleistocene,Lat,33,#FFF2D3,0.126,0.06885,0.0117,15443
923,int,1,5,Middle Pleistocene,Mid,33,#FFF2C7,0.781,0.4535,0.126,15443
740,int,1,5,Calabrian,Cal,33,#FFF2BA,1.806,1.2935,0.781,47900
741,int,1,5,Gelasian,Gel,33,#FFEDB3,2.588,2.197,1.806,47900
96,int,1,5,Piacenzian,Pia,34,#FFFFBF,3.6,3.094,2.588,47900
97,int,1,5,Zanclean,Zan,34,#FFFFB3,5.333,4.4665,3.6,47900
98,int,1,5,Messinian,Mes,35,#FFFF73,7.246,6.2895,5.333,47900
99,int,1,5,Tortonian,Tor,35,#FFFF66,11.62,9.433,7.246,47900
100,int,1,5,Serravallian,Ser,35,#FFFF59,13.82,12.72,11.62,47900
101,int,1,5,Langhian,Lan,35,#FFFF4D,15.97,14.895,13.82,47900
102,int,1,5,Burdigalian,Bur,35,#FFFF41,20.44,18.205,15.97,47900
103,int,1,5,Aquitanian,Aqu,35,#FFFF33,23.03,21.735,20.44,47900
104,int,1,5,Chattian,Cha,36,#FEE6AA,28.1,25.565,23.03,47900
105,int,1,5,Rupelian,Rup,36,#FED99A,33.9,31,28.1,47900
106,int,1,5,Priabonian,Pri,37,#FDCDA1,38,35.95,33.9,47900
107,int,1,5,Bartonian,Bar,37,#FDC091,41.3,39.65,38,47900
108,int,1,5,Lutetian,Lut,37,#FCB482,47.8,44.55,41.3,47900
109,int,1,5,Ypresian,Ypr,37,#FCA773,56,51.9,47.8,47900
110,int,1,5,Thanetian,Tha,38,#FDBF6F,59.2,57.6,56,47900
743,int,1,5,Selandian,Sel,38,#FEBF65,61.6,60.4,59.2,47900
111,int,1,5,Danian,Dan,38,#FDB462,66,63.8,61.6,47900
112,int,1,5,Maastrichtian,Maa,39,#F2FA8C,72.1,69.05,66,47900
113,int,1,5,Campanian,Cam,39,#E6F47F,83.6,77.85,72.1,47900
114,int,1,5,Santonian,San,39,#D9EF74,86.3,84.95,83.6,47900
115,int,1,5,Coniacian,Con,39,#CCE968,89.8,88.05,86.3,47900
116,int,1,5,Turonian,Tur,39,#BFE35D,93.9,91.85,89.8,47900
117,int,1,5,Cenomanian,Cen,39,#B3DE53,100.5,97.2,93.9,47900
118,int,1,5,Albian,Alb,40,#CCEA97,113,106.75,100.5,47900
119,int,1,5,Aptian,Apt,40,#BFE48A,125,119,113,47900
120,int,1,5,Barremian,Bar,40,#B3DF7F,129.4,127.2,125,47900
121,int,1,5,Hauterivian,Hau,40,#A6D975,132.9,131.15,129.4,47900
122,int,1,5,Valanginian,Val,40,#99D36A,139.8,136.35,132.9,47900
123,int,1,5,Berriasian,Ber,40,#8CCD60,145,142.4,139.8,47900
124,int,1,5,Tithonian,Tit,41,#D9F1F7,152.1,148.55,145,47900
125,int,1,5,Kimmeridgian,Kim,41,#CCECF4,157.3,154.7,152.1,47900
126,int,1,5,Oxfordian,Oxf,41,#BFE7F1,163.5,160.4,157.3,47900
127,int,1,5,Callovian,Cal,42,#BFE7E5,166.1,164.8,163.5,47900
128,int,1,5,Bathonian,Bat,42,#B3E2E3,168.3,167.2,166.1,47900
129,int,1,5,Bajocian,Baj,42,#A6DDE0,170.3,169.3,168.3,47900
130,int,1,5,Aalenian,Aal,42,#9AD9DD,174.1,172.2,170.3,47900
131,int,1,5,Toarcian,Toa,43,#99CEE3,182.7,178.4,174.1,47900
132,int,1,5,Pliensbachian,Pli,43,#80C5DD,190.8,186.75,182.7,47900
133,int,1,5,Sinemurian,Sin,43,#67BCD8,199.3,195.05,190.8,47900
134,int,1,5,Hettangian,Het,43,#4EB3D3,201.3,200.3,199.3,47900
135,int,1,5,Rhaetian,Rha,44,#E3B9DB,208.5,204.9,201.3,47900
136,int,1,5,Norian,Nor,44,#D6AAD3,228,218.25,208.5,47900
137,int,1,5,Carnian,Car,44,#C99BCB,237,232.5,228,47900
138,int,1,5,Ladinian,Lad,45,#C983BF,242,239.5,237,47900
139,int,1,5,Anisian,Ani,45,#BC75B7,247.2,244.6,242,47900
