"stage","LPT_global","MaxSSS_global"
"Aalenian",23503254.5130184,21103754.9614351
"Albian",28130278.9518079,26433518.0739473
"Anisian",25885152.9199449,23755907.8660839
"Aptian",26347228.4079237,24562982.1040235
"Aquitanian",21991712.1012461,19992697.4863062
"Bajocian",26126164.2340116,23968130.9352379
"Barremian",23708553.6056004,21772240.5152524
"Bartonian",31547598.5523384,28470294.8703044
"Bathonian",26592030.7831231,24682944.8312127
"Berriasian",23735284.7137453,21984207.3123427
"Burdigalian",21075132.8368078,19410695.2867486
"Callovian",29262970.3252705,27135632.2069025
"Campanian",33211365.0149591,31013621.1795682
"Carnian",26210785.3005332,24182081.2507319
"Cenomanian",33254449.8115901,30991618.797747
"Chattian",21519578.9432984,19518345.0177309
"Coniacian",32529473.6715317,30341067.9702292
"Danian",30518283.4120777,28272429.1858854
"Hauterivian",22057885.7852651,20140177.0778905
"Hettangian",19945587.280425,18153538.0548652
"Kimmeridgian",29879321.7775043,27416880.5750859
"Ladinian",25407087.91705,23614932.577751
"Langhian",20083481.5529044,18058006.1618835
"Lutetian",31800494.4853638,29484273.5473617
"Maastrichtian",36491466.6171228,33813631.530288
"Messinian",18294968.5232447,16483011.2626841
"Norian",22093375.8024232,21117678.4482298
"Oxfordian",32079363.6505168,29263086.6222078
"Piacenzian",17401707.7522985,16016143.4923432
"Pliensbachian",22867984.9652606,20495407.3404324
"Priabonian",28963711.4378114,26389405.2919047
"Rhaetian",22947051.471147,21927069.2621511
"Rupelian",21330199.2461596,19598246.9913851
"Santonian",29404409.036866,27405852.4286544
"Selandian",33607620.5587089,30932924.6145513
"Serravallian",21089833.6891044,19278225.6774679
"Sinemurian",22948361.3012851,20641567.9689271
"Thanetian",30153321.4864836,27583072.659348
"Tithonian",28260511.6246724,26058162.0435228
"Toarcian",24131683.1318488,21476190.6129935
"Tortonian",20444071.4043862,18192481.8576616
"Turonian",33096301.7146034,30586321.5218414
"Valanginian",21809511.995915,20396459.3450361
"Ypresian",30778358.9450167,28696037.106252
"Zanclean",19220054.9331085,17710503.9590392
