"bins","max","mid","min","LPT_area","MaxSSS_area","stage"
1,90,80,70,0,0,"Aalenian"
2,70,60,50,0,0,"Aalenian"
3,50,40,30,8780639.47407301,2696746.93888909,"Aalenian"
4,30,20,10,13408971.7322893,12756525.7781589,"Aalenian"
5,10,0,-10,3439142.71854269,3439142.71854269,"Aalenian"
6,-10,-20,-30,5403388.07450299,5130366.14974914,"Aalenian"
7,-30,-40,-50,2268522.10839599,42459.9519303964,"Aalenian"
8,-50,-60,-70,0,0,"Aalenian"
9,-70,-80,-90,0,0,"Aalenian"
1,90,80,70,0,0,"Albian"
2,70,60,50,0,0,"Albian"
3,50,40,30,9108458.75981259,4109732.61711236,"Albian"
4,30,20,10,15293212.9927915,15293212.9927915,"Albian"
5,10,0,-10,8677130.14854597,8677130.14854597,"Albian"
6,-10,-20,-30,5888020.49606031,5888020.49606031,"Albian"
7,-30,-40,-50,4473781.69580407,2248750.65660551,"Albian"
8,-50,-60,-70,0,0,"Albian"
9,-70,-80,-90,0,0,"Albian"
1,90,80,70,0,0,"Anisian"
2,70,60,50,0,0,"Anisian"
3,50,40,30,5694217.16173404,2593910.6099854,"Anisian"
4,30,20,10,11116713.1334621,10711347.7442187,"Anisian"
5,10,0,-10,9957430.39513541,9957430.39513541,"Anisian"
6,-10,-20,-30,8983115.74858039,6083871.96188849,"Anisian"
7,-30,-40,-50,1348656.82275745,137443.839986282,"Anisian"
8,-50,-60,-70,0,0,"Anisian"
9,-70,-80,-90,0,0,"Anisian"
1,90,80,70,0,0,"Aptian"
2,70,60,50,0,0,"Aptian"
3,50,40,30,7080426.1645316,1387126.82714613,"Aptian"
4,30,20,10,15629692.6305956,14772117.3383766,"Aptian"
5,10,0,-10,5458523.05906294,5422002.44422619,"Aptian"
6,-10,-20,-30,6657923.89887246,6657923.89887246,"Aptian"
7,-30,-40,-50,4887115.43273074,2199195.10861063,"Aptian"
8,-50,-60,-70,0,0,"Aptian"
9,-70,-80,-90,0,0,"Aptian"
1,90,80,70,0,0,"Aquitanian"
2,70,60,50,0,0,"Aquitanian"
3,50,40,30,3571250.96404355,200009.414596932,"Aquitanian"
4,30,20,10,10285681.1460596,9317908.9427993,"Aquitanian"
5,10,0,-10,9067328.01782044,9067328.01782044,"Aquitanian"
6,-10,-20,-30,8384519.47788545,8220083.23316417,"Aquitanian"
7,-30,-40,-50,4935579.25227776,1881997.72881468,"Aquitanian"
8,-50,-60,-70,0,0,"Aquitanian"
9,-70,-80,-90,0,0,"Aquitanian"
1,90,80,70,0,0,"Bajocian"
2,70,60,50,0,0,"Bajocian"
3,50,40,30,9749993.1834993,2879712.22058842,"Bajocian"
4,30,20,10,14506396.1584391,14474230.2942221,"Bajocian"
5,10,0,-10,4133546.73180297,4133546.73180297,"Bajocian"
6,-10,-20,-30,6367859.16186853,6151469.51227027,"Bajocian"
7,-30,-40,-50,2639111.43634318,74304.9158781936,"Bajocian"
8,-50,-60,-70,0,0,"Bajocian"
9,-70,-80,-90,0,0,"Bajocian"
1,90,80,70,0,0,"Barremian"
2,70,60,50,0,0,"Barremian"
3,50,40,30,6387700.28986431,2104295.20017156,"Barremian"
4,30,20,10,16363854.8560818,16277667.7077987,"Barremian"
5,10,0,-10,4391524.36406245,4391524.36406245,"Barremian"
6,-10,-20,-30,4273448.18200612,4203202.8288996,"Barremian"
7,-30,-40,-50,5017596.11551175,1440403.85629131,"Barremian"
8,-50,-60,-70,0,0,"Barremian"
9,-70,-80,-90,0,0,"Barremian"
1,90,80,70,0,0,"Bartonian"
2,70,60,50,0,0,"Bartonian"
3,50,40,30,8023965.51743714,3485846.48145091,"Bartonian"
4,30,20,10,17891513.2331797,17891513.2331797,"Bartonian"
5,10,0,-10,7959496.6495322,7959496.6495322,"Bartonian"
6,-10,-20,-30,5355558.80133727,5096290.90754309,"Bartonian"
7,-30,-40,-50,5284474.29406111,2452635.22288494,"Bartonian"
8,-50,-60,-70,0,0,"Bartonian"
9,-70,-80,-90,0,0,"Bartonian"
1,90,80,70,0,0,"Bathonian"
2,70,60,50,0,0,"Bathonian"
3,50,40,30,10916198.080101,3165560.52503969,"Bathonian"
4,30,20,10,15095968.544441,15074524.6349631,"Bathonian"
5,10,0,-10,3684613.42030889,3684613.42030889,"Bathonian"
6,-10,-20,-30,6538972.31706853,6483664.79010239,"Bathonian"
7,-30,-40,-50,2494021.37552008,199678.779084653,"Bathonian"
8,-50,-60,-70,0,0,"Bathonian"
9,-70,-80,-90,0,0,"Bathonian"
1,90,80,70,0,0,"Berriasian"
2,70,60,50,0,0,"Berriasian"
3,50,40,30,6295194.82205234,1506865.6939533,"Berriasian"
4,30,20,10,12647290.5655561,12615124.7013392,"Berriasian"
5,10,0,-10,7420146.22672044,7420146.22672044,"Berriasian"
6,-10,-20,-30,5165272.61163346,5089603.31068163,"Berriasian"
7,-30,-40,-50,3836145.0248001,691046.613712509,"Berriasian"
8,-50,-60,-70,0,0,"Berriasian"
9,-70,-80,-90,0,0,"Berriasian"
1,90,80,70,0,0,"Burdigalian"
2,70,60,50,0,0,"Burdigalian"
3,50,40,30,2973368.27155587,10391.3847262419,"Burdigalian"
4,30,20,10,11013783.9665332,9297048.95838225,"Burdigalian"
5,10,0,-10,9248808.93996591,9248808.93996591,"Burdigalian"
6,-10,-20,-30,9003436.67845336,8916258.91467839,"Burdigalian"
