"stage","LPT_Nx","LPT_Ny","LPT_Sx","LPT_Sy","MaxSSS_Nx","MaxSSS_Ny","MaxSSS_Sx","MaxSSS_Sy"
"Aalenian",55.5990513541717,26.3969318520603,44.5306202984404,-18.5174340736492,58.8325511187561,25.2927041154906,35.9702508621388,-16.2211819004374
"Albian",16.1021459819131,23.2044547814483,35.051294544655,-21.087666382807,15.170832959458,22.6371371501639,32.9123212235577,-19.7262218964289
"Anisian",45.8114635355182,20.005582358906,73.6877101613573,-16.1769310419873,50.2365137254013,18.9838789946807,73.3490006191912,-15.3110182906606
"Aptian",28.1503205807146,21.589115291895,39.915378805581,-23.7043649278547,28.5230574158948,20.8861949863264,40.0961946382298,-22.8376947293835
"Aquitanian",21.752800495573,17.9292377271173,86.5709765439865,-21.4046065173313,23.7649523313381,17.1768619637465,88.5677603358582,-20.174282167681
"Bajocian",52.9570677250629,25.8861125422773,40.3948949191225,-17.8652196430947,54.7324593532308,24.873926285616,36.4205693395998,-15.9222754370717
"Barremian",30.472234088232,21.7586138906445,45.0751804708742,-26.1212222142436,30.5842069409291,21.4695553405756,51.5606376874668,-24.3217450508381
"Bartonian",27.3616285285078,22.9184298531582,66.0774579615405,-25.5894212251715,28.0830980218154,21.9515968098183,67.6472065145831,-24.2780192289762
"Bathonian",53.4731629108189,25.2404982862442,43.6747038449967,-19.9661463651136,54.0465146378565,24.4551895430868,38.8674285001439,-18.6107849463422
"Berriasian",27.1195675994341,18.469566991449,40.7470542195613,-21.2033938814451,26.4368656871367,18.0828517355647,36.9182014651133,-18.9202240133596
"Burdigalian",22.706442971048,16.8445050564069,91.0700638421113,-21.098111179111,24.1318353751132,16.2766427728301,93.1396863301465,-19.649149833904
"Callovian",49.2951497847104,24.8074151057569,49.2762399813777,-21.7094225051405,49.8293302777494,24.0524892046698,43.6462216570161,-20.1183466035971
"Campanian",13.8858887528899,21.6502135557118,48.9330298700713,-21.8509811858723,13.652440069023,20.7923361612329,48.9873829392196,-20.9562616602428
"Carnian",37.3171872328116,21.3219099649825,70.4507958972079,-15.8486910080501,43.2781787858257,19.9730300315535,70.1128434705509,-15.2337031147725
"Cenomanian",10.1348835647561,22.9931439264959,42.2887483224139,-22.0369227005149,9.90017480489935,22.0423611318084,40.0444998169194,-21.0126955145021
"Chattian",20.4152753084327,21.3042051766381,82.8725072144583,-24.063225810299,19.9497160435259,20.3864178320408,88.4284033850657,-22.8979504325911
"Coniacian",10.2504515411505,21.9471189947732,45.2268415644818,-24.2519281181074,10.6465169494554,21.2609039897211,44.5643603621967,-23.440353862169
"Danian",14.6007153466834,21.8017827813517,63.4346927067231,-18.8113758829177,14.5506355957639,20.9583784153289,63.6227537842258,-17.8817470255116
"Hauterivian",29.7284897554585,20.0354700740654,46.8166107216711,-23.6551214939553,28.6456614462161,19.4335982379348,49.9672068007549,-20.6332542244419
"Hettangian",32.3296809845262,27.2171285596422,67.8903851730617,-16.3667512800546,31.2748063252696,26.2218820924819,71.6862438021071,-15.9201890910116
"Kimmeridgian",44.2775819290902,24.1018395597585,54.6103015387498,-22.102268597216,44.5591553667065,23.0597523400192,49.6106935450419,-20.7940391157792
"Ladinian",41.5994128401853,20.8375740639568,70.938023924934,-15.4883644797531,44.7900028776978,20.2220395226869,71.4589294804978,-14.4193506009537
"Langhian",23.3047820094712,18.7666756672032,98.1924095452435,-20.7063687339777,24.2257397538654,17.792280235367,98.4325094866008,-19.3408298895669
"Lutetian",25.1863875277548,22.0937743254079,70.4285857207522,-26.0237682371326,25.7012941087628,21.6114706482294,70.3282634911494,-24.5298958892593
"Maastrichtian",17.5187473448335,23.0243627882633,45.7192123456339,-18.9939935987085,17.9279008794997,22.255185592791,45.0314380937327,-17.9871342414485
"Messinian",22.5838508623409,15.4264074289751,93.325469408676,-18.2077158466281,23.8032348440525,14.2162305648241,93.9715171986736,-16.5973331920904
"Norian",23.1230368957416,21.6195098772664,74.0135039408218,-14.8594891623379,24.2368557395743,20.973509782658,73.9693168901218,-14.5281778317537
"Oxfordian",36.0881820207946,23.621915814448,55.629537486883,-22.2324643438103,35.6202398835608,22.5670260783228,48.3129339916189,-20.3513386723531
