Stage,True positive,False negative,n,Standard,Buffered,Random,P
Piacenzian,6,7,13,46.15,84.62,2.46,< 0.001
Zanclean,16,11,27,59.26,70.37,3.85,< 0.001
Messinian,7,10,17,41.18,41.18,3.53,< 0.001
Tortonian,7,18,25,28,32,3.76,< 0.001
Serravallian,7,7,14,50,57.14,4.50,< 0.001
Langhian,2,3,5,40,40,4.20,< 0.001
Burdigalian,20,13,33,60.61,72.73,5.21,< 0.001
Aquitanian,2,3,5,40,60,3.80,< 0.001
Chattian,8,4,12,66.67,91.67,3.83,< 0.001
Rupelian,7,9,16,43.75,56.25,3.56,< 0.001
Priabonian,3,9,12,25,66.67,7.50,< 0.001
Bartonian,1,1,2,50,50,5.50,< 0.001
Lutetian,7,0,7,100,100,6.14,< 0.001
Ypresian,3,0,3,100,100,6.33,< 0.001
Thanetian,10,9,19,52.63,52.63,5.58,< 0.001
Selandian,1,0,1,100,100,8.00,< 0.001
Danian,3,3,6,50,83.33,6.00,< 0.001
Maastrichtian,4,2,6,66.67,83.33,7.17,< 0.001
Campanian,19,7,26,73.08,92.31,6.42,< 0.001
Santonian,5,0,5,100,100,5.00,< 0.001
Coniacian,3,0,3,100,100,6.00,< 0.001
Turonian,7,3,10,70,90,7.30,< 0.001
Cenomanian,9,1,10,90,100,6.70,< 0.001
Albian,11,1,12,91.67,100,4.42,< 0.001
Aptian,13,6,19,68.42,89.47,4.79,< 0.001
Barremian,8,6,14,57.14,85.71,4.64,< 0.001
Hauterivian,5,0,5,100,100,3.40,< 0.001
Valanginian,5,2,7,71.43,85.71,3.86,< 0.001
Berriasian,3,0,3,100,100,5.33,< 0.001
Tithonian,24,3,27,88.89,88.89,5.63,< 0.001
Kimmeridgian,28,4,32,87.5,96.88,6.41,< 0.001
Oxfordian,41,10,51,80.39,90.2,6.65,< 0.001
Callovian,3,0,3,100,100,5.00,< 0.001
Bathonian,4,0,4,100,100,7.25,< 0.001
Bajocian,15,4,19,78.95,94.74,5.26,< 0.001
Aalenian,4,2,6,66.67,83.33,4.83,< 0.001
Toarcian,1,0,1,100,100,4.00,< 0.001
Pliensbachian,4,1,5,80,80,5.80,< 0.001
Sinemurian,3,3,6,50,50,3.33,< 0.001
Hettangian,0,1,1,0,100,3.00,0.978
Rhaetian,8,8,16,50,56.25,5.13,< 0.001
Norian,37,10,47,78.72,78.72,4.89,< 0.001
Carnian,11,2,13,84.62,100,4.46,< 0.001
Ladinian,15,0,15,100,100,4.13,< 0.001
Anisian,9,0,9,100,100,3.78,< 0.001
