"name","success","failure","n","perf","buffer_perf","upper","mean","lower","V","pval","interval_no","record_type","scale_no","scale_level","abbrev","parent_no","color","max_ma","mid_ma","min_ma","reference_no"
"Piacenzian",10,0,10,100,100,4.78181904323021,4.39,3.99818095676979,0,1.0472215353898e-177,96,"int",1,5,"Pia",34,"#FFFFBF",3.6,3.094,2.588,47900
"Zanclean",16,1,17,94.1176470588235,94.1176470588235,5.21045321139061,4.88235294117647,4.55425267096233,0,3.66131478496554e-171,97,"int",1,5,"Zan",34,"#FFFFB3",5.333,4.4665,3.6,47900
"Messinian",12,1,13,92.3076923076923,92.3076923076923,4.98482385019649,4.63076923076923,4.27671461134197,0,6.89873557269016e-174,98,"int",1,5,"Mes",35,"#FFFF73",7.246,6.2895,5.333,47900
"Tortonian",25,11,36,69.4444444444444,80.5555555555556,4.88127608424662,4.65555555555556,4.42983502686449,0,6.47243084192124e-168,99,"int",1,5,"Tor",35,"#FFFF66",11.62,9.433,7.246,47900
"Serravallian",5,2,7,71.4285714285714,71.4285714285714,5.80273321866783,5.27142857142857,4.74012392418931,0,1.1082282203403e-180,100,"int",1,5,"Ser",35,"#FFFF59",13.82,12.72,11.62,47900
"Langhian",7,3,10,70,70,5.22529097389357,4.79,4.35470902610643,0,3.52995432080327e-177,101,"int",1,5,"Lan",35,"#FFFF4D",15.97,14.895,13.82,47900
"Burdigalian",20,7,27,74.0740740740741,74.0740740740741,5.43387658541582,5.17037037037037,4.90686415532492,0,1.08158879639094e-168,102,"int",1,5,"Bur",35,"#FFFF41",20.44,18.205,15.97,47900
"Aquitanian",11,3,14,78.5714285714286,78.5714285714286,5.36346697989952,5.00714285714286,4.65081873438619,0,1.90575199938778e-172,103,"int",1,5,"Aqu",35,"#FFFF33",23.03,21.735,20.44,47900
"Chattian",11,1,12,91.6666666666667,91.6666666666667,5.76293431306099,5.35833333333333,4.95373235360567,0,2.7001802778617e-173,104,"int",1,5,"Cha",36,"#FEE6AA",28.1,25.565,23.03,47900
"Rupelian",6,2,8,75,75,5.16733695107188,4.7,4.23266304892812,0,2.91827248265877e-180,105,"int",1,5,"Rup",36,"#FED99A",33.9,31,28.1,47900
"Priabonian",11,2,13,84.6153846153846,100,5.80989905289099,5.41538461538462,5.02087017787824,0,1.81004208101697e-172,106,"int",1,5,"Pri",37,"#FDCDA1",38,35.95,33.9,47900
"Bartonian",0,1,1,0,0,9.57469296721249,7.9,6.22530703278751,3160,1,107,"int",1,5,"Bar",37,"#FDC091",41.3,39.65,38,47900
"Lutetian",5,1,6,83.3333333333333,83.3333333333333,7.28602031476386,6.65,6.01397968523614,0,1.97260281056566e-179,108,"int",1,5,"Lut",37,"#FCB482",47.8,44.55,41.3,47900
"Ypresian",4,0,4,100,100,6.7929414119267,6.075,5.3570585880733,0,3.53876288313758e-187,109,"int",1,5,"Ypr",37,"#FCA773",56,51.9,47.8,47900
"Thanetian",8,5,13,61.5384615384615,84.6153846153846,6.828699981304,6.40769230769231,5.98668463408061,0,4.47754006194712e-171,110,"int",1,5,"Tha",38,"#FDBF6F",59.2,57.6,56,47900
"Selandian",2,0,2,100,100,7.57131632007544,6.5,5.42868367992456,0,7.11057784427683e-198,743,"int",1,5,"Sel",38,"#FEBF65",61.6,60.4,59.2,47900
"Danian",8,2,10,80,80,6.46873702966347,6,5.53126297033653,0,5.08592505442598e-174,111,"int",1,5,"Dan",38,"#FDB462",66,63.8,61.6,47900
"Maastrichtian",8,0,8,100,100,7.34397696435424,6.7875,6.23102303564576,0,3.77625259415946e-175,112,"int",1,5,"Maa",39,"#F2FA8C",72.1,69.05,66,47900
"Campanian",9,1,10,90,90,7.06848337643737,6.58,6.09151662356263,0,4.70308115690782e-173,113,"int",1,5,"Cam",39,"#E6F47F",83.6,77.85,72.1,47900
"Santonian",2,0,2,100,100,7.94271492011108,6.8,5.65728507988891,0,2.10892055779721e-197,114,"int",1,5,"San",39,"#D9EF74",86.3,84.95,83.6,47900
"Coniacian",2,0,2,100,100,7.02770180001428,6,4.97229819998572,0,3.63777879902243e-199,115,"int",1,5,"Con",39,"#CCE968",89.8,88.05,86.3,47900
"Turonian",4,3,7,57.1428571428571,71.4285714285714,7.47143417966207,6.87142857142857,6.27142296319507,0,1.96546998076351e-176,116,"int",1,5,"Tur",39,"#BFE35D",93.9,91.85,89.8,47900
"Cenomanian",7,0,7,100,100,7.19798114870516,6.6,6.00201885129484,0,1.56752528172927e-177,117,"int",1,5,"Cen",39,"#B3DE53",100.5,97.2,93.9,47900
"Albian",15,0,15,100,100,6.25573721307984,5.88,5.50426278692016,0,1.08073356276899e-170,118,"int",1,5,"Alb",40,"#CCEA97",113,106.75,100.5,47900
"Aptian",18,0,18,100,100,6.01516418398007,5.67222222222222,5.32928026046438,0,7.8779796493595e-170,119,"int",1,5,"Apt",40,"#BFE48A",125,119,113,47900
"Barremian",5,2,7,71.4285714285714,100,5.56097110325162,5.05714285714286,4.55331461103409,0,4.57240423404223e-181,120,"int",1,5,"Bar",40,"#B3DF7F",129.4,127.2,125,47900
"Hauterivian",7,0,7,100,100,5.4173170328031,4.91428571428571,4.41125439576833,0,1.20789067258841e-181,121,"int",1,5,"Hau",40,"#A6D975",132.9,131.15,129.4,47900
"Valanginian",6,0,6,100,100,4.76771390222444,4.26666666666667,3.76561943110889,0,1.77635057402368e-186,122,"int",1,5,"Val",40,"#99D36A",139.8,136.35,132.9,47900
"Berriasian",6,0,6,100,100,5.62157717025084,5.06666666666667,4.51175616308249,0,7.40013695442723e-184,123,"int",1,5,"Ber",40,"#8CCD60",145,142.4,139.8,47900
"Tithonian",24,3,27,88.8888888888889,88.8888888888889,6.5633176349237,6.27777777777778,5.99223792063186,0,3.95741088101862e-168,124,"int",1,5,"Tit",41,"#D9F1F7",152.1,148.55,145,47900
"Kimmeridgian",39,1,40,97.5,97.5,6.40637798601483,6.1625,5.91862201398517,0,4.7555217901435e-167,125,"int",1,5,"Kim",41,"#CCECF4",157.3,154.7,152.1,47900
"Oxfordian",36,10,46,78.2608695652174,84.7826086956522,6.61899028313612,6.40434782608696,6.1897053690378,0,5.63304849670379e-167,126,"int",1,5,"Oxf",41,"#BFE7F1",163.5,160.4,157.3,47900
"Callovian",4,0,4,100,100,6.8128005562649,6.075,5.3371994437351,0,1.37702676198952e-187,127,"int",1,5,"Cal",42,"#BFE7E5",166.1,164.8,163.5,47900
"Bathonian",4,0,4,100,100,6.6117961112491,5.9,5.1882038887509,0,8.60946446211284e-188,128,"int",1,5,"Bat",42,"#B3E2E3",168.3,167.2,166.1,47900
"Bajocian",21,0,21,100,100,5.43970655204633,5.13809523809524,4.83648392414414,0,1.29236247873572e-169,129,"int",1,5,"Baj",42,"#A6DDE0",170.3,169.3,168.3,47900
"Aalenian",4,0,4,100,100,5.40833572975103,4.75,4.09166427024897,0,4.05251299666603e-192,130,"int",1,5,"Aal",42,"#9AD9DD",174.1,172.2,170.3,47900
"Toarcian",1,0,1,100,100,7.25121341370636,5.8,4.34878658629364,0,3.64456656415386e-207,131,"int",1,5,"Toa",43,"#99CEE3",182.7,178.4,174.1,47900
"Pliensbachian",5,0,5,100,100,4.43692497105152,3.9,3.36307502894848,0,8.65405326271839e-192,132,"int",1,5,"Pli",43,"#80C5DD",190.8,186.75,182.7,47900
"Sinemurian",4,2,6,66.6666666666667,66.6666666666667,5.28545823163287,4.75,4.21454176836713,0,6.11624915337717e-185,133,"int",1,5,"Sin",43,"#67BCD8",199.3,195.05,190.8,47900
"Hettangian",2,0,2,100,100,5.61649566717209,4.7,3.78350433282791,0,7.8732397348817e-203,134,"int",1,5,"Het",43,"#4EB3D3",201.3,200.3,199.3,47900
"Rhaetian",12,4,16,75,75,4.89596359145006,4.575,4.25403640854994,0,5.17885724378786e-172,135,"int",1,5,"Rha",44,"#E3B9DB",208.5,204.9,201.3,47900
