"name","success","failure","n","perf","buffer_perf","upper","mean","lower","V","pval","interval_no","record_type","scale_no","scale_level","abbrev","parent_no","color","max_ma","mid_ma","min_ma","reference_no"
"Piacenzian",8,2,10,80,80,3.94405542633306,3.58,3.21594457366694,0,3.37735094958669e-181,96,"int",1,5,"Pia",34,"#FFFFBF",3.6,3.094,2.588,47900
"Zanclean",15,2,17,88.2352941176471,88.2352941176471,4.22596084025856,3.93529411764706,3.64462739503556,0,6.79561623705449e-173,97,"int",1,5,"Zan",34,"#FFFFB3",5.333,4.4665,3.6,47900
"Messinian",5,8,13,38.4615384615385,38.4615384615385,3.80276963440678,3.48461538461538,3.16646113482399,0,9.65033289349284e-178,98,"int",1,5,"Mes",35,"#FFFF73",7.246,6.2895,5.333,47900
"Tortonian",10,26,36,27.7777777777778,27.7777777777778,4.03273401989912,3.83611111111111,3.6394882023231,0,1.99781567298779e-168,99,"int",1,5,"Tor",35,"#FFFF66",11.62,9.433,7.246,47900
"Serravallian",4,3,7,57.1428571428571,57.1428571428571,4.32384424139303,3.88571428571429,3.44758433003554,0,2.19745057658889e-185,100,"int",1,5,"Ser",35,"#FFFF59",13.82,12.72,11.62,47900
"Langhian",4,6,10,40,40,3.98079221385988,3.61,3.23920778614012,0,2.45612511415985e-181,101,"int",1,5,"Lan",35,"#FFFF4D",15.97,14.895,13.82,47900
"Burdigalian",13,14,27,48.1481481481481,48.1481481481481,3.98106844061822,3.75555555555556,3.53004267049289,0,9.31957520351379e-170,102,"int",1,5,"Bur",35,"#FFFF41",20.44,18.205,15.97,47900
"Aquitanian",5,9,14,35.7142857142857,35.7142857142857,3.97214016534608,3.67142857142857,3.37071697751106,0,1.33493464644238e-175,103,"int",1,5,"Aqu",35,"#FFFF33",23.03,21.735,20.44,47900
"Chattian",9,3,12,75,75,4.08384261741715,3.74166666666667,3.39949071591618,0,8.67186922380464e-178,104,"int",1,5,"Cha",36,"#FEE6AA",28.1,25.565,23.03,47900
"Rupelian",3,5,8,37.5,37.5,3.98286536790159,3.575,3.16713463209841,0,7.56926419532602e-185,105,"int",1,5,"Rup",36,"#FED99A",33.9,31,28.1,47900
"Priabonian",6,7,13,46.1538461538462,46.1538461538462,5.11443713673631,4.75384615384615,4.39325517095599,0,1.31845128153142e-173,106,"int",1,5,"Pri",37,"#FDCDA1",38,35.95,33.9,47900
"Bartonian",0,1,1,0,0,6.69092835336157,5.3,3.90907164663843,1431,0.999999999999839,107,"int",1,5,"Bar",37,"#FDC091",41.3,39.65,38,47900
"Lutetian",4,2,6,66.6666666666667,66.6666666666667,5.40190411261994,4.88333333333333,4.36476255404672,0,9.55047477899649e-184,108,"int",1,5,"Lut",37,"#FCB482",47.8,44.55,41.3,47900
"Ypresian",2,2,4,50,50,6.4732055597476,5.75,5.0267944402524,0,1.11065578098642e-186,109,"int",1,5,"Ypr",37,"#FCA773",56,51.9,47.8,47900
"Thanetian",5,8,13,38.4615384615385,38.4615384615385,5.24190492578359,4.87692307692308,4.51194122806256,0,2.32525077375296e-173,110,"int",1,5,"Tha",38,"#FDBF6F",59.2,57.6,56,47900
"Selandian",1,1,2,50,50,5.83333262464513,4.9,3.96666737535487,452.5,4.90667788882834e-198,743,"int",1,5,"Sel",38,"#FEBF65",61.6,60.4,59.2,47900
"Danian",4,6,10,40,50,4.94363287093739,4.55,4.15636712906261,0,5.44143507231789e-177,111,"int",1,5,"Dan",38,"#FDB462",66,63.8,61.6,47900
"Maastrichtian",8,0,8,100,100,6.32186264768881,5.8125,5.30313735231119,0,4.77565472127919e-177,112,"int",1,5,"Maa",39,"#F2FA8C",72.1,69.05,66,47900
"Campanian",6,4,10,60,60,5.2012103064118,4.8,4.3987896935882,0,2.41476715396826e-176,113,"int",1,5,"Cam",39,"#E6F47F",83.6,77.85,72.1,47900
"Santonian",2,0,2,100,100,6.26564778025675,5.3,4.33435221974325,0,4.60383467088804e-201,114,"int",1,5,"San",39,"#D9EF74",86.3,84.95,83.6,47900
"Coniacian",2,0,2,100,100,6.12373219019323,5.15,4.17626780980677,0,1.177713280607e-201,115,"int",1,5,"Con",39,"#CCE968",89.8,88.05,86.3,47900
"Turonian",3,4,7,42.8571428571429,42.8571428571429,5.70985776777118,5.18571428571429,4.66157080365739,0,1.54068542854889e-180,116,"int",1,5,"Tur",39,"#BFE35D",93.9,91.85,89.8,47900
"Cenomanian",6,1,7,85.7142857142857,100,5.91036852047971,5.4,4.88963147952029,0,1.1033731781256e-179,117,"int",1,5,"Cen",39,"#B3DE53",100.5,97.2,93.9,47900
"Albian",12,3,15,80,80,5.18996975623655,4.84,4.49003024376345,0,3.10730740720778e-172,118,"int",1,5,"Alb",40,"#CCEA97",113,106.75,100.5,47900
"Aptian",14,4,18,77.7777777777778,83.3333333333333,4.50337010318356,4.21666666666667,3.92996323014977,0,1.12104926074277e-171,119,"int",1,5,"Apt",40,"#BFE48A",125,119,113,47900
"Barremian",5,2,7,71.4285714285714,71.4285714285714,4.58948645638952,4.11428571428571,3.63908497218191,0,5.91033164897347e-185,120,"int",1,5,"Bar",40,"#B3DF7F",129.4,127.2,125,47900
"Hauterivian",5,2,7,71.4285714285714,71.4285714285714,4.53888417897963,4.07142857142857,3.60397296387751,0,3.12888575431432e-185,121,"int",1,5,"Hau",40,"#A6D975",132.9,131.15,129.4,47900
"Valanginian",4,2,6,66.6666666666667,66.6666666666667,4.30262941264558,3.81666666666667,3.33070392068776,0,5.91464283075633e-189,122,"int",1,5,"Val",40,"#99D36A",139.8,136.35,132.9,47900
"Berriasian",6,0,6,100,100,4.10352548366351,3.63333333333333,3.16314118300316,0,1.19760053533829e-189,123,"int",1,5,"Ber",40,"#8CCD60",145,142.4,139.8,47900
"Tithonian",18,9,27,66.6666666666667,74.0740740740741,4.71008664351302,4.46296296296296,4.21583928241291,0,6.37356652132207e-169,124,"int",1,5,"Tit",41,"#D9F1F7",152.1,148.55,145,47900
"Kimmeridgian",24,16,40,60,62.5,4.70119207366102,4.4925,4.28380792633898,0,7.7441712781457e-168,125,"int",1,5,"Kim",41,"#CCECF4",157.3,154.7,152.1,47900
"Oxfordian",21,25,46,45.6521739130435,52.1739130434783,4.90458416225745,4.70869565217391,4.51280714209037,0,1.59199059165422e-167,126,"int",1,5,"Oxf",41,"#BFE7F1",163.5,160.4,157.3,47900
"Callovian",2,2,4,50,50,4.79022665170089,4.175,3.55977334829911,0,1.8578244748069e-193,127,"int",1,5,"Cal",42,"#BFE7E5",166.1,164.8,163.5,47900
"Bathonian",0,4,4,0,0,4.01596010028359,3.45,2.88403989971641,8646,1,128,"int",1,5,"Bat",42,"#B3E2E3",168.3,167.2,166.1,47900
"Bajocian",7,14,21,33.3333333333333,42.8571428571429,3.92029169649594,3.67142857142857,3.4225654463612,0,1.0404040613587e-171,129,"int",1,5,"Baj",42,"#A6DDE0",170.3,169.3,168.3,47900
"Aalenian",2,2,4,50,50,3.95423474621992,3.4,2.84576525378008,0,3.47385232295489e-197,130,"int",1,5,"Aal",42,"#9AD9DD",174.1,172.2,170.3,47900
"Toarcian",1,0,1,100,100,4.75659577928332,3.6,2.44340422071668,0,6.01704062852864e-212,131,"int",1,5,"Toa",43,"#99CEE3",182.7,178.4,174.1,47900
