"bins","max","mid","min","sst","dem","stage"
1,90,80,70,-1.32678968325339,4321589.81739923,"Aalenian"
2,70,60,50,3.59501047284034,5630004.10533484,"Aalenian"
3,50,40,30,16.4886125745056,15995140.7725624,"Aalenian"
4,30,20,10,26.2235030408633,13408971.7322893,"Aalenian"
5,10,0,-10,29.3794274516801,3439142.71854269,"Aalenian"
6,-10,-20,-30,23.5443519402786,5403388.07450299,"Aalenian"
7,-30,-40,-50,13.7698200469017,4899888.84930873,"Aalenian"
8,-50,-60,-70,3.42103249701904,1195932.26077607,"Aalenian"
9,-70,-80,-90,0.303148678689539,1283239.50453143,"Aalenian"
1,90,80,70,-1.47105473736744,6214017.70847648,"Albian"
2,70,60,50,1.53610229265443,10203046.4646583,"Albian"
3,50,40,30,15.4709687062279,16349445.9165859,"Albian"
4,30,20,10,26.4800024018316,15293212.9927915,"Albian"
5,10,0,-10,30.7765542233444,8677130.14854597,"Albian"
6,-10,-20,-30,27.533150665462,5888020.49606031,"Albian"
7,-30,-40,-50,16.1090696505271,9243987.94296762,"Albian"
8,-50,-60,-70,3.74482312167817,7833331.91092531,"Albian"
9,-70,-80,-90,1.81242522442939,1196218.62823396,"Albian"
1,90,80,70,3.00135086206363,2269939.6982444,"Anisian"
2,70,60,50,7.23192573506576,5429557.94198538,"Anisian"
3,50,40,30,16.4283370120818,10091852.424173,"Anisian"
4,30,20,10,25.5402154824168,11116713.1334621,"Anisian"
5,10,0,-10,28.6661811701926,9957430.39513541,"Anisian"
6,-10,-20,-30,21.5603587506386,9015281.61279734,"Anisian"
7,-30,-40,-50,11.4348978263449,5009654.22390057,"Anisian"
8,-50,-60,-70,2.14207716955655,807917.311718084,"Anisian"
9,-70,-80,-90,-1.05870155884554,1319853.14603821,"Anisian"
1,90,80,70,-1.23598204938909,4483727.23497311,"Aptian"
2,70,60,50,0.242895274101566,6264512.85709469,"Aptian"
3,50,40,30,14.3419059588585,13234931.1615189,"Aptian"
4,30,20,10,24.8545848167833,15629692.6305956,"Aptian"
5,10,0,-10,29.4223721422957,5458523.05906294,"Aptian"
6,-10,-20,-30,27.1060742527606,6657923.89887246,"Aptian"
7,-30,-40,-50,17.2609920093477,7635665.82067356,"Aptian"
8,-50,-60,-70,4.98912927483222,11261733.5989283,"Aptian"
9,-70,-80,-90,0.350699530621826,1865181.71598676,"Aptian"
1,90,80,70,-1.65235834217885,3143897.56444628,"Aquitanian"
2,70,60,50,1.61746503309886,6796676.00309173,"Aquitanian"
3,50,40,30,10.4904098909008,10709008.98946,"Aquitanian"
4,30,20,10,24.3350424474165,10307125.0555376,"Aquitanian"
5,10,0,-10,28.0836426683374,9067328.01782044,"Aquitanian"
6,-10,-20,-30,25.0572455039791,8384519.47788545,"Aquitanian"
7,-30,-40,-50,16.3083661191817,7312578.6532002,"Aquitanian"
8,-50,-60,-70,6.18010697676835,3906412.23624732,"Aquitanian"
9,-70,-80,-90,2.11012783938502,2251313.84503018,"Aquitanian"
1,90,80,70,-0.719266580522288,4842846.39706774,"Bajocian"
2,70,60,50,4.29155932565362,6519137.18977368,"Bajocian"
3,50,40,30,17.0073485287905,16035269.5088548,"Bajocian"
4,30,20,10,27.249428244817,14506396.1584391,"Bajocian"
